Desc	FAMILY	Bbub	Chir	Hbin	Hbta	Hsap	Sscr
(null)	PTHR10574	27	28	26	26	28	27
(null)	PTHR10578	2	2	2	1	2	2
(null)	PTHR10579	5	5	5	5	3	4
(null)	PTHR10582	6	6	6	6	6	6
(null)	PTHR10583	2	2	2	2	2	2
(null)	PTHR10584	1	1	1	1	1	1
(null)	PTHR10585	3	3	3	3	3	3
(null)	PTHR10589	4	4	3	4	4	4
(null)	PTHR10590	3	3	3	3	3	3
(null)	PTHR10598	1	1	1	1	1	1
(null)	PTHR10602	1	1	1	1	1	1
(null)	PTHR10603	3	3	3	3	3	3
(null)	PTHR10605	12	11	11	11	11	11
(null)	PTHR10606	4	4	4	4	4	4
(null)	PTHR10607	1	1	1	1	1	1
(null)	PTHR10609	4	3	4	4	4	4
(null)	PTHR10612	1	1	1	1	1	1
(null)	PTHR10613	1	1	1	1	1	1
(null)	PTHR10614	4	3	4	4	3	4
(null)	PTHR10615	10	10	10	10	10	10
(null)	PTHR10617	1	1	1	1	1	1
(null)	PTHR10619	1	1	1	1	1	1
(null)	PTHR10621	2	2	2	2	2	2
(null)	PTHR10623	3	4	3	3	3	3
(null)	PTHR10624	3	3	3	3	3	3
(null)	PTHR10625	4	5	4	4	4	4
(null)	PTHR10627	3	3	3	3	3	3
(null)	PTHR10628	4	4	4	4	4	4
(null)	PTHR10629	1	1	1	1	1	1
(null)	PTHR10630	1	1	1	1	1	1
(null)	PTHR10631	2	2	2	2	2	2
(null)	PTHR10632	1	1	1	1	1	1
(null)	PTHR10633	1	1	1	1	1	1
(null)	PTHR10634	4	3	3	3	3	3
(null)	PTHR10635	1	1	1	1	1	1
(null)	PTHR10638	6	8	5	5	3	4
(null)	PTHR10639	2	2	2	2	2	2
(null)	PTHR10640	1	1	1	1	1	1
(null)	PTHR10642	1	1	1	1	1	1
(null)	PTHR10643	1	1	1	1	1	1
(null)	PTHR10644	3	3	2	4	3	3
(null)	PTHR10648	4	3	3	4	3	4
(null)	PTHR10649	2	2	2	2	2	2
(null)	PTHR10652	2	2	2	2	2	2
(null)	PTHR10653	3	3	3	3	3	3
(null)	PTHR10654	4	4	3	4	4	4
(null)	PTHR10655	3	3	3	4	3	3
(null)	PTHR10656	10	10	10	10	10	10
(null)	PTHR10657	1	1	1	1	1	1
(null)	PTHR10658	5	5	5	5	5	5
(null)	PTHR10660	3	3	3	3	3	3
(null)	PTHR10662	7	4	7	6	5	5
(null)	PTHR10663	18	17	17	17	17	16
(null)	PTHR10665	2	1	2	2	2	2
(null)	PTHR10666	9	6	7	7	6	6
(null)	PTHR10668	1	1	1	1	1	1
(null)	PTHR10670	1	1	1	1	1	1
(null)	PTHR10671	12	12	12	12	12	11
(null)	PTHR10672	3	3	3	3	3	3
(null)	PTHR10676	16	16	20	16	16	16
(null)	PTHR10677	6	7	6	6	6	6
(null)	PTHR10678	2	2	2	3	2	2
(null)	PTHR10680	1	1	1	1	1	1
(null)	PTHR10681	3	3	3	3	3	3
(null)	PTHR10682	3	4	3	3	3	3
(null)	PTHR10683	1	1	1	1	1	1
(null)	PTHR10684	3	3	3	3	3	3
(null)	PTHR10686	3	3	3	3	4	3
(null)	PTHR10687	5	5	5	4	5	5
(null)	PTHR10689	2	2	2	2	2	2
(null)	PTHR10693	2	2	2	2	2	2
(null)	PTHR10694	9	9	9	9	10	11
(null)	PTHR10695	2	2	2	2	2	2
(null)	PTHR10696	2	2	2	2	2	2
(null)	PTHR10697	1	1	1	1	1	1
(null)	PTHR10698	1	1	1	1	1	1
(null)	PTHR10699	2	2	2	2	2	2
(null)	PTHR10701	4	5	4	4	4	3
(null)	PTHR10704	6	6	5	6	7	6
(null)	PTHR10705	1	1	1	1	1	1
(null)	PTHR10706	2	2	2	2	2	2
(null)	PTHR10707	2	2	2	2	2	2
(null)	PTHR10709	2	2	2	2	2	2
(null)	PTHR10715	1	1	1	1	1	1
(null)	PTHR10720	2	2	2	2	2	2
(null)	PTHR10721	1	1	1	1	1	1
(null)	PTHR10722	1	1	1	1	1	1
(null)	PTHR10724	1	1	1	1	1	1
(null)	PTHR10725	2	2	2	2	2	1
(null)	PTHR10728	5	5	5	5	7	5
(null)	PTHR10730	6	6	6	6	6	6
(null)	PTHR10732	1	1	1	1	1	1
(null)	PTHR10736	4	4	4	4	4	4
(null)	PTHR10738	1	1	1	1	1	1
(null)	PTHR10739	2	2	3	2	2	2
(null)	PTHR10740	6	6	6	6	6	6
(null)	PTHR10741	2	2	2	2	2	2
(null)	PTHR10742	5	5	5	5	5	5
(null)	PTHR10743	1	1	1	1	1	1
(null)	PTHR10744	2	2	1	1	1	1
(null)	PTHR10745	2	2	2	2	2	2
(null)	PTHR10746	1	1	1	1	1	1
(null)	PTHR10747	4	4	4	4	4	4
(null)	PTHR10749	3	4	3	3	3	3
(null)	PTHR10751	13	11	17	18	11	11
(null)	PTHR10755	1	1	1	1	1	1
(null)	PTHR10758	2	2	2	2	2	2
(null)	PTHR10760	5	5	5	5	5	5
(null)	PTHR10762	2	2	2	2	2	2
(null)	PTHR10763	2	2	2	2	2	2
(null)	PTHR10766	4	5	4	4	4	4
(null)	PTHR10768	1	1	1	1	1	1
(null)	PTHR10769	1	1	1	1	1	1
(null)	PTHR10772	0	0	0	1	1	1
(null)	PTHR10773	1	1	1	1	1	1
(null)	PTHR10778	4	4	4	4	4	4
(null)	PTHR10779	2	2	2	2	2	1
(null)	PTHR10780	2	2	2	2	2	2
(null)	PTHR10782	6	6	6	6	6	6
(null)	PTHR10783	1	1	1	1	1	1
(null)	PTHR10784	1	1	1	1	1	1
(null)	PTHR10786	1	1	1	1	1	1
(null)	PTHR10791	3	3	3	3	3	3
(null)	PTHR10792	2	2	2	2	2	2
(null)	PTHR10794	4	4	4	4	4	4
(null)	PTHR10796	4	6	5	6	3	4
(null)	PTHR10797	2	2	2	2	2	2
(null)	PTHR10799	5	5	5	5	5	5
(null)	PTHR10800	1	1	1	1	1	1
(null)	PTHR10801	1	1	1	1	1	1
(null)	PTHR10802	2	2	2	2	2	2
(null)	PTHR10803	1	1	1	1	1	1
(null)	PTHR10804	1	1	1	1	1	1
(null)	PTHR10805	1	1	1	1	1	1
(null)	PTHR10806	2	3	2	2	1	2
(null)	PTHR10807	15	16	15	15	14	14
(null)	PTHR10809	4	3	3	3	3	3
(null)	PTHR10811	5	4	4	3	4	4
(null)	PTHR10812	5	5	5	5	5	5
(null)	PTHR10814	6	6	6	6	6	6
(null)	PTHR10816	6	6	7	7	6	6
(null)	PTHR10819	1	1	1	1	1	1
(null)	PTHR10822	6	6	6	5	6	6
(null)	PTHR10824	7	6	5	7	5	7
(null)	PTHR10825	3	3	3	3	4	3
(null)	PTHR10826	1	1	1	1	1	1
(null)	PTHR10827	5	5	5	5	5	5
(null)	PTHR10828	3	3	3	3	3	3
(null)	PTHR10829	5	5	4	5	5	5
(null)	PTHR10830	1	1	1	1	1	1
(null)	PTHR10835	1	1	1	1	1	1
(null)	PTHR10836	2	3	2	2	2	2
(null)	PTHR10837	5	5	5	5	5	5
(null)	PTHR10838	4	4	4	4	4	4
(null)	PTHR10840	1	1	1	1	1	1
(null)	PTHR10841	3	3	3	3	3	3
(null)	PTHR10844	3	3	3	3	3	3
(null)	PTHR10845	12	13	12	14	12	12
(null)	PTHR10846	5	5	5	5	5	5
(null)	PTHR10848	1	1	1	1	1	1
(null)	PTHR10849	1	1	1	1	1	1
(null)	PTHR10851	1	1	1	1	1	1
(null)	PTHR10853	1	1	1	1	1	1
(null)	PTHR10855	2	2	2	2	2	2
(null)	PTHR10856	7	7	7	8	8	7
(null)	PTHR10857	8	8	8	9	9	9
(null)	PTHR10858	2	2	2	2	2	2
(null)	PTHR10859	1	1	1	1	1	1
(null)	PTHR10865	6	6	6	6	6	6
(null)	PTHR10867	3	3	3	3	3	3
(null)	PTHR10868	1	1	1	1	1	1
(null)	PTHR10869	5	4	4	4	4	4
(null)	PTHR10870	1	1	1	1	1	1
(null)	PTHR10871	1	1	1	1	1	1
(null)	PTHR10872	3	3	3	3	3	3
(null)	PTHR10876	1	1	1	1	1	1
(null)	PTHR10877	7	7	8	8	7	5
(null)	PTHR10878	4	4	4	4	4	4
(null)	PTHR10880	3	3	3	3	3	3
(null)	PTHR10881	1	1	1	1	27	1
(null)	PTHR10882	1	1	1	1	1	1
(null)	PTHR10884	1	1	1	1	1	1
(null)	PTHR10885	1	1	1	1	2	1
(null)	PTHR10887	9	9	9	9	10	10
(null)	PTHR10889	1	1	1	1	1	1
(null)	PTHR10890	2	2	2	2	2	2
(null)	PTHR10891	1	1	1	1	1	1
(null)	PTHR10894	2	2	2	2	2	2
(null)	PTHR10896	3	3	3	3	3	3
(null)	PTHR10900	2	2	2	2	2	2
(null)	PTHR10901	7	7	7	7	7	7
(null)	PTHR10902	1	2	1	1	1	2
(null)	PTHR10903	13	32	15	15	9	8
(null)	PTHR10906	2	2	2	2	2	2
(null)	PTHR10907	1	1	1	1	1	1
(null)	PTHR10908	2	2	2	2	1	2
(null)	PTHR10909	4	4	4	4	4	4
(null)	PTHR10910	5	5	5	5	5	5
(null)	PTHR10912	2	2	2	2	2	2
(null)	PTHR10913	7	7	7	7	7	6
(null)	PTHR10915	4	4	4	4	4	4
(null)	PTHR10917	1	1	1	1	1	1
(null)	PTHR10918	3	3	3	3	3	3
(null)	PTHR10920	3	3	2	3	3	3
(null)	PTHR10921	3	2	2	2	2	2
(null)	PTHR10924	7	6	6	6	5	5
(null)	PTHR10925	1	1	1	1	1	1
(null)	PTHR10926	3	3	3	3	2	3
(null)	PTHR10927	1	1	1	1	1	1
(null)	PTHR10928	1	1	1	1	1	1
(null)	PTHR10933	1	1	1	2	1	1
(null)	PTHR10934	1	1	1	1	1	1
(null)	PTHR10937	2	2	2	2	2	2
(null)	PTHR10938	1	2	1	1	1	1
(null)	PTHR10942	1	1	1	1	1	1
(null)	PTHR10943	2	2	2	2	2	2
(null)	PTHR10947	2	2	2	2	2	3
(null)	PTHR10949	1	1	1	1	1	1
(null)	PTHR10953	10	10	10	10	10	11
(null)	PTHR10954	1	1	1	1	1	2
(null)	PTHR10956	1	1	1	1	1	1
(null)	PTHR10957	1	1	1	1	1	1
(null)	PTHR10960	1	1	1	1	1	1
(null)	PTHR10961	1	1	1	1	1	2
(null)	PTHR10962	2	3	3	3	3	3
(null)	PTHR10965	1	1	0	1	1	1
(null)	PTHR10966	1	1	1	1	1	1
(null)	PTHR10969	6	6	5	6	5	6
(null)	PTHR10970	2	3	2	2	2	3
(null)	PTHR10971	3	3	3	3	3	3
(null)	PTHR10972	12	12	12	12	12	13
(null)	PTHR10977	1	1	1	1	1	1
(null)	PTHR10978	1	1	1	1	1	1
(null)	PTHR10980	3	3	3	3	2	3
(null)	PTHR10981	1	1	1	1	1	1
(null)	PTHR10983	5	5	5	5	5	5
(null)	PTHR10984	3	3	3	3	3	3
(null)	PTHR10985	13	13	13	13	13	13
(null)	PTHR10986	1	1	1	1	1	1
(null)	PTHR10989	2	2	2	2	2	2
(null)	PTHR10993	2	2	2	2	2	2
(null)	PTHR10996	2	2	2	2	1	2
(null)	PTHR10997	5	5	5	5	5	5
(null)	PTHR11001	1	1	1	1	1	1
(null)	PTHR11003	15	15	15	15	15	15
(null)	PTHR11005	6	10	6	7	6	3
(null)	PTHR11006	8	9	9	8	8	9
(null)	PTHR11009	4	4	4	4	4	4
(null)	PTHR11010	4	3	3	3	3	3
(null)	PTHR11011	2	2	2	2	2	2
(null)	PTHR11021	2	2	3	3	2	2
(null)	PTHR11022	4	4	4	4	4	3
(null)	PTHR11024	1	3	2	2	2	2
(null)	PTHR11027	1	1	1	1	1	1
(null)	PTHR11028	2	2	2	2	2	2
(null)	PTHR11032	1	1	1	1	1	0
(null)	PTHR11034	5	4	4	4	4	4
(null)	PTHR11035	4	4	4	4	4	4
(null)	PTHR11036	20	20	20	20	20	20
(null)	PTHR11037	6	6	6	6	6	6
(null)	PTHR11038	1	1	1	1	1	0
(null)	PTHR11039	3	3	3	3	3	3
(null)	PTHR11040	4	4	4	4	4	4
(null)	PTHR11042	9	10	9	9	9	10
(null)	PTHR11043	2	2	2	2	2	2
(null)	PTHR11046	1	1	1	1	1	1
(null)	PTHR11049	3	3	4	3	3	3
(null)	PTHR11051	1	1	1	1	1	1
(null)	PTHR11054	1	1	1	1	1	1
(null)	PTHR11055	2	2	2	2	2	2
(null)	PTHR11056	1	1	1	1	1	1
(null)	PTHR11058	1	1	0	1	1	1
(null)	PTHR11060	1	2	1	1	1	1
(null)	PTHR11062	5	5	5	5	5	5
(null)	PTHR11063	1	1	1	1	1	1
(null)	PTHR11064	1	1	1	1	1	1
(null)	PTHR11066	1	1	1	1	1	1
(null)	PTHR11067	1	1	1	1	1	1
(null)	PTHR11069	1	1	1	1	1	1
(null)	PTHR11070	1	1	1	1	1	1
(null)	PTHR11071	10	10	10	11	17	9
(null)	PTHR11073	5	4	4	4	4	4
(null)	PTHR11075	1	1	1	1	1	1
(null)	PTHR11076	1	1	1	1	1	1
(null)	PTHR11079	2	2	2	2	2	2
(null)	PTHR11081	3	3	3	3	3	3
(null)	PTHR11082	3	2	2	2	2	2
(null)	PTHR11085	3	3	3	3	3	3
(null)	PTHR11086	2	2	2	2	2	2
(null)	PTHR11088	1	1	1	1	1	1
(null)	PTHR11089	3	3	3	3	3	3
(null)	PTHR11092	1	1	1	1	1	1
(null)	PTHR11093	2	2	2	2	2	2
(null)	PTHR11096	2	2	2	2	2	2
(null)	PTHR11097	3	3	3	3	3	3
(null)	PTHR11098	1	1	1	1	1	1
(null)	PTHR11099	1	1	1	1	1	1
(null)	PTHR11100	3	3	3	3	3	3
(null)	PTHR11101	2	2	2	2	2	2
(null)	PTHR11102	2	2	2	2	2	2
(null)	PTHR11105	1	1	1	1	1	1
(null)	PTHR11106	3	3	3	3	3	3
(null)	PTHR11108	1	1	1	1	1	1
(null)	PTHR11109	1	1	1	1	1	1
(null)	PTHR11113	1	1	1	1	1	1
(null)	PTHR11117	1	1	1	1	1	1
