orthogroup_ID,geneID,spcies,UniProtKB_ID,PANTHER_ID
OG0000015,51427,Hsap,Q9UII5,PTHR24376
OG0000015,51427,Hsap,A0A024R5Y9,NA
OG0000015,51427,Hsap,A0A087WYK5,NA
OG0000015,51427,Hsap,A0A0B4J2G0,NA
OG0000015,51427,Hsap,Q8WVL4,NA
OG0000015,171392,Hsap,Q8TD23,PTHR24384
OG0000015,7639,Hsap,Q03923,PTHR24384
OG0000015,7639,Hsap,Q49A12,NA
OG0000015,148213,Hsap,Q96N22,PTHR24377
OG0000015,7594,Hsap,P17038,PTHR24376
OG0000015,7594,Hsap,A0A024R7P7,NA
OG0000015,7594,Hsap,A0A087WSW2,NA
OG0000015,163223,Hsap,Q8N7Q3,PTHR24384
OG0000015,388523,Hsap,P0DKX0,PTHR24377
OG0000015,7757,Hsap,O43345,PTHR24376
OG0000015,7757,Hsap,M0QYK4,NA
OG0000015,730087,Hsap,A6NNF4,PTHR24377
OG0000015,730087,Hsap,E9PLI7,NA
OG0000015,730087,Hsap,F1T0F3,NA
OG0000015,9534,Hsap,O75437,PTHR24377
OG0000015,9534,Hsap,A0A087WZJ7,NA
OG0000015,9534,Hsap,A0A087X0A2,NA
OG0000015,9534,Hsap,B4E0L9,NA
OG0000015,9534,Hsap,F5H2M4,NA
OG0000015,9534,Hsap,Q7Z2R1,NA
OG0000015,7644,Hsap,Q05481,PTHR24376
OG0000015,113835,Hsap,Q9Y2Q1,PTHR24384
OG0000015,353088,Hsap,Q86V71,PTHR24377
OG0000015,168374,Hsap,Q03936,PTHR24384
OG0000015,168374,Hsap,C9IZS8,NA
OG0000015,168374,Hsap,V9HVY7,NA
OG0000015,100287226,Hsap,A6NN14,PTHR24376
OG0000015,7652,Hsap,A8MXY4,PTHR24376
OG0000015,7562,Hsap,P17019,PTHR24384
OG0000015,646864,Hsap,NA,NA
OG0000015,7697,Hsap,P52744,PTHR24384
OG0000015,7697,Hsap,A0A0A0MRG3,NA
OG0000015,7697,Hsap,A0A0A0MT90,NA
OG0000015,7697,Hsap,A2RRP7,NA
OG0000015,7697,Hsap,C9JHF6,NA
OG0000015,10793,Hsap,Q14593,PTHR24384
OG0000015,340252,Hsap,Q8NEM1,PTHR24384
OG0000015,100129842,Hsap,O75373,PTHR24384
OG0000015,7617,Hsap,NA,NA
OG0000015,7643,Hsap,Q03938,PTHR24384
OG0000015,199777,Hsap,Q68DY1,PTHR24384
OG0000015,81931,Hsap,P35789,PTHR24377
OG0000015,81931,Hsap,Q6NS90,NA
OG0000015,440515,Hsap,Q5JVG8,PTHR24384
OG0000015,56242,Hsap,O75346,PTHR24384
OG0000015,90649,Hsap,Q96H40,PTHR24384
OG0000015,90649,Hsap,Q4G180,NA
OG0000015,168417,Hsap,Q8IYX0,PTHR24384
OG0000015,730291,Hsap,P0CB33,PTHR24384
OG0000015,441234,Hsap,A6NP11,PTHR24384
OG0000015,90827,Hsap,Q96JC4,PTHR24384
OG0000015,152687,Hsap,Q8IYB9,PTHR24377
OG0000015,152687,Hsap,A0A075B7G3,NA
OG0000015,152687,Hsap,A0A075B7G4,NA
OG0000015,152687,Hsap,B4DU56,NA
OG0000015,152687,Hsap,B4DX79,NA
OG0000015,170960,Hsap,Q8TF20,PTHR24376
OG0000015,654254,Hsap,B4DXR9,PTHR24384
OG0000015,7700,Hsap,Q15928,PTHR24384
OG0000015,7700,Hsap,D6RIY0,NA
OG0000015,7700,Hsap,Q4W5N2,NA
OG0000015,255403,Hsap,Q3SXZ3,PTHR24384
OG0000015,255403,Hsap,Q658L4,NA
OG0000015,7748,Hsap,O14628,PTHR24384
OG0000015,442319,Hsap,A8MUV8,PTHR24384
OG0000015,728927,Hsap,B4DX44,PTHR24384
OG0000015,57116,Hsap,Q8IW36,PTHR24384
OG0000015,91120,Hsap,O95780,PTHR24384
OG0000015,91120,Hsap,B3KUX2,NA
OG0000015,91120,Hsap,B9EG95,NA
OG0000015,339500,Hsap,NA,NA
OG0000015,162655,Hsap,Q8TB69,PTHR24384
OG0000018,26492,Hsap,Q6IF36,PTHR48018
OG0000018,219865,Hsap,Q8NG78,PTHR48018
OG0000018,219865,Hsap,A0A126GVX5,NA
OG0000018,219865,Hsap,A0A126GW95,NA
OG0000018,26494,Hsap,Q15617,PTHR48018
OG0000018,26494,Hsap,A0A126GVX6,NA
OG0000019,125962,Hsap,Q8NGA0,PTHR48001
OG0000019,125962,Hsap,A0A126GVS6,NA
OG0000021,10381,Hsap,Q13509,PTHR11588
OG0000021,10381,Hsap,Q53G92,NA
OG0000021,84617,Hsap,Q9BUF5,PTHR11588
OG0000021,84617,Hsap,B3KS31,NA
OG0000021,84617,Hsap,B4E386,NA
OG0000021,84617,Hsap,K7EJ64,NA
OG0000021,81027,Hsap,Q9H4B7,PTHR11588
OG0000021,347733,Hsap,Q9BVA1,PTHR11588
OG0000021,347733,Hsap,A0A384MEE3,NA
OG0000021,7280,Hsap,Q13885,PTHR11588
OG0000021,10383,Hsap,P68371,PTHR11588
OG0000021,107987035,Hsap,NA,NA
OG0000021,260334,Hsap,NA,NA
OG0000021,347688,Hsap,Q3ZCM7,PTHR11588
OG0000021,10382,Hsap,P04350,PTHR11588
OG0000021,203068,Hsap,P07437,PTHR11588
OG0000021,203068,Hsap,B4DMJ5,NA
OG0000021,203068,Hsap,B4DQN9,NA
OG0000021,203068,Hsap,B4DY90,NA
OG0000021,203068,Hsap,Q5ST81,NA
OG0000021,203068,Hsap,Q5SU16,NA
OG0000022,219493,Hsap,Q8NGP9,PTHR26452
OG0000022,219493,Hsap,A0A126GVM6,NA
OG0000022,390148,Hsap,Q8NH69,PTHR26452
OG0000023,3456,Hsap,P01574,PTHR11691
OG0000024,6323,Hsap,P35498,PTHR10037
OG0000024,6326,Hsap,Q99250,PTHR10037
OG0000024,6328,Hsap,Q9NY46,PTHR10037
OG0000024,6328,Hsap,A0A590UJH3,NA
OG0000024,6328,Hsap,Q9C007,NA
OG0000024,6335,Hsap,Q15858,PTHR10037
OG0000024,6334,Hsap,Q9UQD0,PTHR10037
OG0000024,6334,Hsap,Q6B4S4,NA
OG0000024,6329,Hsap,P35499,PTHR10037
OG0000024,6331,Hsap,Q14524,PTHR10037
OG0000024,6331,Hsap,A0A0A0MT39,NA
OG0000024,6331,Hsap,E9PG18,NA
OG0000024,6331,Hsap,E9PHB6,NA
OG0000024,6331,Hsap,H9KVD2,NA
OG0000024,6331,Hsap,K4DIA1,NA
OG0000024,6331,Hsap,Q86V90,NA
OG0000024,6336,Hsap,Q9Y5Y9,PTHR10037
OG0000026,112268384,Hsap,NA,NA
OG0000026,346528,Hsap,Q8NGT9,PTHR26453
OG0000026,402317,Hsap,Q8NGT9,PTHR26453
OG0000026,107987545,Hsap,NA,NA
OG0000026,401427,Hsap,Q96R45,PTHR26451
OG0000026,401427,Hsap,A0A126GWD8,NA
OG0000026,79541,Hsap,O95047,PTHR26451
OG0000026,79541,Hsap,A0A126GVW2,NA
OG0000026,392138,Hsap,A4D2G3,PTHR26451
OG0000026,392138,Hsap,A0A126GVV5,NA
OG0000026,393046,Hsap,Q96R48,PTHR26453
OG0000026,393046,Hsap,A0A126GW49,NA
OG0000026,442361,Hsap,Q6IF42,PTHR26453
OG0000026,442361,Hsap,A0A126GW45,NA
OG0000026,346525,Hsap,Q8NGT7,PTHR26453
OG0000026,135941,Hsap,Q96R47,PTHR26453
OG0000026,135941,Hsap,A0A126GVB0,NA
OG0000028,8359,Hsap,P62805,PTHR10484
OG0000028,8359,Hsap,B2R4R0,NA
OG0000028,8367,Hsap,P62805,PTHR10484
OG0000028,8367,Hsap,B2R4R0,NA
OG0000028,8363,Hsap,P62805,PTHR10484
OG0000028,8363,Hsap,B2R4R0,NA
OG0000028,8361,Hsap,P62805,PTHR10484
OG0000028,8361,Hsap,B2R4R0,NA
OG0000028,8366,Hsap,P62805,PTHR10484
OG0000028,8366,Hsap,B2R4R0,NA
OG0000028,8362,Hsap,P62805,PTHR10484
OG0000028,8362,Hsap,B2R4R0,NA
OG0000028,8365,Hsap,P62805,PTHR10484
OG0000028,8365,Hsap,B2R4R0,NA
OG0000028,8368,Hsap,P62805,PTHR10484
OG0000028,8368,Hsap,B2R4R0,NA
OG0000028,8364,Hsap,P62805,PTHR10484
OG0000028,8364,Hsap,B2R4R0,NA
OG0000028,8370,Hsap,P62805,PTHR10484
OG0000028,8370,Hsap,B2R4R0,NA
OG0000028,8294,Hsap,P62805,PTHR10484
OG0000028,8294,Hsap,B2R4R0,NA
OG0000028,121504,Hsap,P62805,PTHR10484
OG0000028,121504,Hsap,B2R4R0,NA
OG0000028,8360,Hsap,P62805,PTHR10484
OG0000028,8360,Hsap,B2R4R0,NA
OG0000029,26740,Hsap,Q8NGS2,PTHR48001
OG0000029,26740,Hsap,A0A126GW18,NA
OG0000029,347168,Hsap,Q8NGS3,PTHR48001
OG0000029,347168,Hsap,A0A126GWP9,NA
OG0000029,26219,Hsap,Q8NGS1,PTHR48001
OG0000029,26219,Hsap,A0A126GW06,NA
OG0000030,820,Hsap,P49913,PTHR10206
OG0000030,820,Hsap,A0A384NPR0,NA
OG0000030,820,Hsap,J3KNB4,NA
OG0000034,22989,Hsap,Q9Y2K3,PTHR45615
OG0000034,57644,Hsap,A7E2Y1,PTHR45615
OG0000034,4624,Hsap,P13533,PTHR45615
OG0000034,4625,Hsap,P12883,PTHR45615
OG0000034,8735,Hsap,Q9UKX3,PTHR45615
OG0000034,4621,Hsap,P11055,PTHR45615
OG0000034,4621,Hsap,Q5GJ67,NA
OG0000034,4626,Hsap,P13535,PTHR45615
OG0000034,4620,Hsap,Q9UKX2,PTHR45615
OG0000034,4622,Hsap,Q9Y623,PTHR45615
OG0000034,4619,Hsap,P12882,PTHR45615
OG0000035,138881,Hsap,Q8NGR8,PTHR48001
OG0000035,138881,Hsap,A0A126GVC5,NA
OG0000037,345651,Hsap,Q562R1,PTHR11937
OG0000037,71,Hsap,P63261,PTHR11937
OG0000037,60,Hsap,P60709,PTHR11937
OG0000037,60,Hsap,Q1KLZ0,NA
OG0000037,58,Hsap,P68133,PTHR11937
OG0000037,59,Hsap,P62736,PTHR11937
OG0000037,59,Hsap,D2JYH4,NA
OG0000037,72,Hsap,P63267,PTHR11937
OG0000037,70,Hsap,P68032,PTHR11937
OG0000037,70,Hsap,B3KPP5,NA
OG0000038,26683,Hsap,Q6IEY1,PTHR48002
OG0000038,26683,Hsap,A0A126GV92,NA
OG0000038,729759,Hsap,Q6IEY1,PTHR48002
OG0000038,729759,Hsap,A0A126GV92,NA
OG0000038,81399,Hsap,Q6IEY1,PTHR48002
OG0000038,81399,Hsap,A0A126GV92,NA
OG0000038,441308,Hsap,O95013,PTHR48002
OG0000039,390054,Hsap,Q9H2C5,PTHR26450
OG0000039,390054,Hsap,A0A126GWD2,NA
OG0000039,23538,Hsap,Q9UKL2,PTHR26450
OG0000042,254786,Hsap,Q9NZP0,PTHR26454
OG0000042,254786,Hsap,A0A126GW44,NA
OG0000043,386672,Hsap,NA,NA
OG0000043,386674,Hsap,P60371,PTHR23262
OG0000043,386675,Hsap,P60409,PTHR23262
OG0000043,386685,Hsap,P60413,PTHR23262
OG0000046,56105,Hsap,Q9Y5H2,PTHR24028
OG0000046,26025,Hsap,O60330,PTHR24028
OG0000046,56108,Hsap,Q9Y5G6,PTHR24028
OG0000046,56106,Hsap,Q9Y5H3,PTHR24028
OG0000046,56107,Hsap,Q9Y5G4,PTHR24028
OG0000046,9708,Hsap,Q9Y5G5,PTHR24028
OG0000046,56110,Hsap,Q9Y5G8,PTHR24028
OG0000046,56111,Hsap,Q9Y5G9,PTHR24028
OG0000046,56109,Hsap,Q9Y5G7,PTHR24028
OG0000046,56112,Hsap,Q9Y5H0,PTHR24028
OG0000046,56113,Hsap,Q9Y5H1,PTHR24028
OG0000046,56114,Hsap,Q9Y5H4,PTHR24028
OG0000046,56097,Hsap,Q9Y5F6,PTHR24028
OG0000046,56100,Hsap,Q9Y5F9,PTHR24028
OG0000046,56099,Hsap,Q9Y5F8,PTHR24028
OG0000046,56101,Hsap,Q9Y5G0,PTHR24028
OG0000046,8641,Hsap,Q9UN71,PTHR24028
OG0000046,56103,Hsap,Q9Y5G2,PTHR24028
OG0000046,56102,Hsap,Q9Y5G1,PTHR24028
OG0000046,56104,Hsap,Q9Y5G3,PTHR24028
OG0000048,390199,Hsap,Q8NGE8,PTHR48002
OG0000048,390199,Hsap,A0A126GVP8,NA
OG0000048,219986,Hsap,Q8NGI4,PTHR48002
OG0000048,219986,Hsap,A0A126GVQ9,NA
OG0000048,390197,Hsap,Q8NGI6,PTHR48002
OG0000048,390197,Hsap,A0A126GVJ1,NA
OG0000049,124538,Hsap,P58180,PTHR48002
OG0000049,124538,Hsap,A0A126GWK0,NA
OG0000049,26689,Hsap,Q15615,PTHR48002
OG0000051,22852,Hsap,Q9UPS8,PTHR24147
OG0000051,22852,Hsap,E7ESJ3,NA
OG0000052,130075,Hsap,Q8NGU2,PTHR24242
OG0000052,130075,Hsap,A0A126GVB1,NA
OG0000052,135924,Hsap,Q8NGT5,PTHR24242
OG0000053,119749,Hsap,A6NHA9,PTHR48002
OG0000053,283092,Hsap,Q8NGP0,PTHR48002
OG0000054,476,Hsap,P05023,PTHR43294
OG0000054,477,Hsap,P50993,PTHR43294
OG0000054,477,Hsap,A0A0S2Z3W6,NA
OG0000054,480,Hsap,Q13733,PTHR43294
OG0000054,478,Hsap,P13637,PTHR43294
OG0000054,478,Hsap,Q53ES0,NA
OG0000054,479,Hsap,P54707,PTHR43294
OG0000054,479,Hsap,B4E0R9,NA
OG0000054,495,Hsap,P20648,PTHR43294
OG0000054,495,Hsap,A0A384MR29,NA
OG0000054,495,Hsap,Q658V6,NA
OG0000055,8389,Hsap,Q9UM77,NA
OG0000055,8387,Hsap,P30953,PTHR48001
OG0000055,8388,Hsap,P47887,PTHR48001
OG0000055,8388,Hsap,A0A126GW81,NA
OG0000057,1282,Hsap,P02462,PTHR24023
OG0000057,1282,Hsap,A5PKV2,NA
OG0000057,1287,Hsap,P29400,PTHR24023
OG0000057,1287,Hsap,A7MBN3,NA
OG0000057,1287,Hsap,Q49AM6,NA
OG0000057,1285,Hsap,Q01955,PTHR24023
OG0000057,1284,Hsap,P08572,PTHR24023
OG0000057,1284,Hsap,A0A024RDW8,NA
OG0000057,1288,Hsap,Q14031,PTHR24023
OG0000057,1288,Hsap,A0A087WZY5,NA
OG0000057,1288,Hsap,A8MXH5,NA
OG0000057,1288,Hsap,A8VPY0,NA
OG0000057,1288,Hsap,B2RTX6,NA
OG0000057,1288,Hsap,B7ZMM7,NA
OG0000057,1288,Hsap,F5H3Q5,NA
OG0000057,1286,Hsap,P53420,PTHR24023
OG0000059,3821,Hsap,P26715,PTHR22800
OG0000059,3822,Hsap,P26717,PTHR22800
OG0000059,3823,Hsap,Q07444,PTHR22800
OG0000059,8302,Hsap,O43908,PTHR22800
OG0000062,341416,Hsap,Q9NZP2,PTHR26454
OG0000062,341416,Hsap,A0A126GW05,NA
OG0000062,403284,Hsap,A6NDL8,PTHR26454
OG0000063,126541,Hsap,Q8NGA5,PTHR24247
OG0000063,126541,Hsap,A0A126GVV2,NA
OG0000063,26532,Hsap,O60404,PTHR24247
OG0000063,26532,Hsap,A0A126GW93,NA
OG0000064,120066,Hsap,Q8WZ94,PTHR26452
OG0000064,120066,Hsap,A0A126GVE6,NA
OG0000065,219473,Hsap,Q8NH51,PTHR48018
OG0000067,3303,Hsap,B3KTT5,NA
OG0000067,3303,Hsap,P0DMV8,PTHR19375
OG0000067,3303,Hsap,P0DMV9,PTHR19375
OG0000067,3303,Hsap,A8K5I0,NA
OG0000067,3304,Hsap,P0DMV8,PTHR19375
OG0000067,3304,Hsap,P0DMV9,PTHR19375
OG0000067,3304,Hsap,A8K5I0,NA
OG0000067,3306,Hsap,P54652,PTHR19375
OG0000067,3306,Hsap,A0A024R6B5,NA
OG0000067,3310,Hsap,P17066,PTHR19375
OG0000067,3310,Hsap,A0A384NKX5,NA
OG0000067,3310,Hsap,B3KSM6,NA
OG0000067,3305,Hsap,P34931,PTHR19375
OG0000067,3305,Hsap,A0A1U9X7W7,NA
OG0000067,3312,Hsap,P11142,PTHR19375
OG0000067,3312,Hsap,Q53HF2,NA
OG0000067,3312,Hsap,V9HW22,NA
OG0000068,12,Hsap,P01011,PTHR11461
OG0000068,12,Hsap,A0A024R6P0,NA
OG0000069,26538,Hsap,O60403,PTHR24247
OG0000069,26538,Hsap,A0A126GWJ7,NA
OG0000069,26539,Hsap,Q9Y4A9,PTHR24247
OG0000069,26539,Hsap,A0A126GVU5,NA
OG0000069,284433,Hsap,Q8NGA6,PTHR24247
OG0000069,284433,Hsap,A0A126GWE9,NA
OG0000070,390275,Hsap,Q8NGG7,PTHR48018
OG0000075,115361,Hsap,Q96PP9,PTHR10751
OG0000075,163351,Hsap,Q6ZN66,PTHR10751
OG0000075,163351,Hsap,B4DRX0,NA
OG0000075,163351,Hsap,B4E1U2,NA
OG0000076,114571,Hsap,Q8IVM8,PTHR24064
OG0000076,387601,Hsap,Q6T423,PTHR24064
OG0000076,283238,Hsap,Q8N4F4,PTHR24064
OG0000076,387775,Hsap,Q63ZE4,PTHR24064
OG0000078,3882,Hsap,Q14532,PTHR23239
OG0000078,100653049,Hsap,A0A140TA62,PTHR23239
OG0000078,100653049,Hsap,O76011,PTHR23239
OG0000078,3885,Hsap,O76011,PTHR23239
OG0000078,3881,Hsap,Q15323,PTHR23239
OG0000078,3883,Hsap,O76009,PTHR23239
OG0000078,3884,Hsap,Q14525,PTHR23239
OG0000078,125115,Hsap,Q6A162,PTHR23239
OG0000079,144983,Hsap,Q32P51,PTHR48026
OG0000079,144983,Hsap,A0A024QZ98,NA
OG0000079,3178,Hsap,P09651,PTHR48026
OG0000079,3178,Hsap,A0A024RAZ7,NA
OG0000079,3178,Hsap,A0A024RB53,NA
OG0000079,220988,Hsap,P51991,PTHR48026
OG0000079,220988,Hsap,A0A384NL63,NA
OG0000079,220988,Hsap,B4DDB6,NA
OG0000080,387748,Hsap,Q8NGI3,PTHR26450
OG0000080,196335,Hsap,Q8NH76,PTHR26450
OG0000081,219477,Hsap,Q8NGP2,PTHR48018
OG0000081,81168,Hsap,Q8NGG0,PTHR48018
OG0000081,81168,Hsap,A0A126GVE3,NA
OG0000082,26246,Hsap,Q8NH16,PTHR26453
OG0000082,26246,Hsap,A0A126GW34,NA
OG0000082,81466,Hsap,Q8NG80,PTHR26453
OG0000082,81466,Hsap,A0A126GWR8,NA
OG0000082,391190,Hsap,Q8NGY9,PTHR26453
OG0000082,391192,Hsap,Q8NG85,PTHR26453
OG0000083,642623,Hsap,P0CB47,PTHR46318
OG0000084,6317,Hsap,P29508,PTHR11461
OG0000084,6318,Hsap,P48594,PTHR11461
OG0000084,6318,Hsap,Q9BYF7,NA
OG0000086,441639,Hsap,Q8NGE7,PTHR26452
OG0000086,441639,Hsap,A0A126GW01,NA
OG0000087,56656,Hsap,Q9NQN1,PTHR26453
OG0000088,219858,Hsap,Q8NGG6,PTHR48018
OG0000088,219858,Hsap,A0A126GWS7,NA
OG0000088,26493,Hsap,Q15620,PTHR48018
OG0000088,26493,Hsap,A0A126GW73,NA
OG0000089,144125,Hsap,Q9H205,PTHR26453
OG0000089,144125,Hsap,A0A126GVD0,NA
OG0000089,338755,Hsap,A6NM03,PTHR26453
OG0000089,338755,Hsap,A0A126GWC6,NA
OG0000090,341568,Hsap,Q8NH09,PTHR48001
OG0000091,100529240,Hsap,Q8N8H1,NA
OG0000091,100529240,Hsap,A0A0X1KG74,NA
OG0000091,125893,Hsap,Q0VGE8,PTHR24377
OG0000091,125893,Hsap,A0A024R4J0,NA
OG0000091,147660,Hsap,Q96N58,PTHR24377
OG0000091,147660,Hsap,Q3MI94,NA
OG0000091,162966,Hsap,Q6ZNG1,PTHR24376
OG0000091,162966,Hsap,A0A3B3IT03,NA
OG0000091,81856,Hsap,Q8N823,PTHR24377
OG0000091,388558,Hsap,Q8N4W9,PTHR24376
OG0000091,344787,Hsap,A6NHJ4,PTHR24377
OG0000091,110116772,Hsap,NA,NA
OG0000091,388561,Hsap,Q86XN6,PTHR24377
OG0000091,388561,Hsap,Q6IQ01,NA
OG0000091,126017,Hsap,Q6ZN06,PTHR24377
OG0000091,170958,Hsap,J3KR51,NA
OG0000091,170958,Hsap,J3KR62,NA
OG0000091,91661,Hsap,Q7L2R6,PTHR24377
OG0000091,91664,Hsap,Q96IR2,PTHR24376
OG0000091,55762,Hsap,Q9NV72,PTHR24377
OG0000091,55762,Hsap,Q6NWZ7,NA
OG0000091,388559,Hsap,P0CJ79,PTHR24377
